"year","category","name","team","games","desc.","source"
1946,"PEDs",NA,NA,0,NA,NA
1946,"Substance abuse",NA,NA,0,NA,NA
1946,"Personal conduct","M. Hapes","NYG",0,"Gambling-related","http://espn.go.com/blog/nflnation/tag/_/name/frank-filchock"
1946,"In-game violence",NA,NA,0,NA,NA
1947,"PEDs",NA,NA,0,NA,NA
1947,"Substance abuse",NA,NA,0,NA,NA
1947,"Personal conduct","F. Filchock","NYG",36,"Gambling-related","http://espn.go.com/blog/nflnation/tag/_/name/frank-filchock"
1947,"In-game violence",NA,NA,0,NA,NA
1948,"PEDs",NA,NA,0,NA,NA
1948,"Substance abuse",NA,NA,0,NA,NA
1948,"Personal conduct",NA,NA,0,NA,NA
1948,"In-game violence",NA,NA,0,NA,NA
1949,"PEDs",NA,NA,0,NA,NA
1949,"Substance abuse",NA,NA,0,NA,NA
1949,"Personal conduct",NA,NA,0,NA,NA
1949,"In-game violence",NA,NA,0,NA,NA
1950,"PEDs",NA,NA,0,NA,NA
1950,"Substance abuse",NA,NA,0,NA,NA
1950,"Personal conduct",NA,NA,0,NA,NA
1950,"In-game violence",NA,NA,0,NA,NA
1951,"PEDs",NA,NA,0,NA,NA
1951,"Substance abuse",NA,NA,0,NA,NA
1951,"Personal conduct",NA,NA,0,NA,NA
1951,"In-game violence",NA,NA,0,NA,NA
1952,"PEDs",NA,NA,0,NA,NA
1952,"Substance abuse",NA,NA,0,NA,NA
1952,"Personal conduct",NA,NA,0,NA,NA
1952,"In-game violence",NA,NA,0,NA,NA
1953,"PEDs",NA,NA,0,NA,NA
1953,"Substance abuse",NA,NA,0,NA,NA
1953,"Personal conduct",NA,NA,0,NA,NA
1953,"In-game violence",NA,NA,0,NA,NA
1954,"PEDs",NA,NA,0,NA,NA
1954,"Substance abuse",NA,NA,0,NA,NA
1954,"Personal conduct",NA,NA,0,NA,NA
1954,"In-game violence",NA,NA,0,NA,NA
1955,"PEDs",NA,NA,0,NA,NA
1955,"Substance abuse",NA,NA,0,NA,NA
1955,"Personal conduct",NA,NA,0,NA,NA
1955,"In-game violence",NA,NA,0,NA,NA
1956,"PEDs",NA,NA,0,NA,NA
1956,"Substance abuse",NA,NA,0,NA,NA
1956,"Personal conduct",NA,NA,0,NA,NA
1956,"In-game violence",NA,NA,0,NA,NA
1957,"PEDs",NA,NA,0,NA,NA
1957,"Substance abuse",NA,NA,0,NA,NA
1957,"Personal conduct",NA,NA,0,NA,NA
1957,"In-game violence",NA,NA,0,NA,NA
1958,"PEDs",NA,NA,0,NA,NA
1958,"Substance abuse",NA,NA,0,NA,NA
1958,"Personal conduct",NA,NA,0,NA,NA
1958,"In-game violence",NA,NA,0,NA,NA
1959,"PEDs",NA,NA,0,NA,NA
1959,"Substance abuse",NA,NA,0,NA,NA
1959,"Personal conduct",NA,NA,0,NA,NA
1959,"In-game violence",NA,NA,0,NA,NA
1960,"PEDs",NA,NA,0,NA,NA
1960,"Substance abuse",NA,NA,0,NA,NA
1960,"Personal conduct",NA,NA,0,NA,NA
1960,"In-game violence",NA,NA,0,NA,NA
1961,"PEDs",NA,NA,0,NA,NA
1961,"Substance abuse",NA,NA,0,NA,NA
1961,"Personal conduct",NA,NA,0,NA,NA
1961,"In-game violence",NA,NA,0,NA,NA
1962,"PEDs",NA,NA,0,NA,NA
1962,"Substance abuse",NA,NA,0,NA,NA
1962,"Personal conduct",NA,NA,0,NA,NA
1962,"In-game violence",NA,NA,0,NA,NA
1963,"PEDs",NA,NA,0,NA,NA
1963,"Substance abuse",NA,NA,0,NA,NA
1963,"Personal conduct","A. Karras","DET",14,"Gambling-related","http://www.usatoday.com/story/sports/nfl/lions/2012/10/10/alex-karras-obituary-detroit-lions/1623419/"
1963,"In-game violence",NA,NA,0,NA,NA
1964,"PEDs",NA,NA,0,NA,NA
1964,"Substance abuse",NA,NA,0,NA,NA
1964,"Personal conduct",NA,NA,0,NA,NA
1964,"In-game violence",NA,NA,0,NA,NA
1965,"PEDs",NA,NA,0,NA,NA
1965,"Substance abuse",NA,NA,0,NA,NA
1965,"Personal conduct",NA,NA,0,NA,NA
1965,"In-game violence",NA,NA,0,NA,NA
1966,"PEDs",NA,NA,0,NA,NA
1966,"Substance abuse",NA,NA,0,NA,NA
1966,"Personal conduct",NA,NA,0,NA,NA
1966,"In-game violence",NA,NA,0,NA,NA
1967,"PEDs",NA,NA,0,NA,NA
